Modell,Train_MAE,Train_RMSE,Train_R2,Train_NASA,MAE,RMSE,R2,NASA_Score
LSTM,7.176095962524414,9.46559579012908,0.9487437605857849,1.6364818154382117,9.90984058380127,13.37203233541173,0.8974335789680481,3.7244804796780278
XGBoost,6.082225322723389,8.345387044608321,0.9598734974861145,1.1437260545658177,11.711532592773438,16.56323793314816,0.8423506021499634,8.026298870788416
Random Forest,4.028483787210917,5.694786851744173,0.9813149848001871,0.5754207799426162,11.718222768222768,16.564902942020804,0.8423189182258293,7.85494006610503
Linear Regression,17.416787601919857,21.21022149610678,0.7408036295228448,9.039288263302804,16.07580805286048,19.943982760799564,0.7714266571652527,6.494552956932136
Mean Baseline,36.94866006000049,41.66110127117067,0.0,310.87404018944517,36.929802663876686,41.72082538935907,-0.00024774997701904056,315.9350884818409
