Feature,Importance
sensor_4_roll_mean,0.5951168358350258
sensor_11_roll_mean,0.08729077225122624
sensor_9_roll_mean,0.08683350700932264
sensor_14_roll_mean,0.01745309029716883
sensor_21_roll_mean,0.014874521899713656
sensor_20_roll_mean,0.014203679153042117
sensor_15_roll_mean,0.012667734234872273
sensor_7_roll_mean,0.012491904536189112
sensor_9,0.010124844702128929
sensor_2_roll_mean,0.008438709552431842
sensor_3_roll_mean,0.007121401701948565
sensor_12_roll_mean,0.006857714612560022
sensor_13_roll_mean,0.006232338564927631
sensor_14_roll_std,0.005816384955632208
sensor_7_roll_std,0.005176837921414861
sensor_8_roll_mean,0.005067910852789919
sensor_11_roll_std,0.004671247933026979
sensor_8_roll_std,0.004636354502380137
sensor_21_roll_std,0.004445470811111652
sensor_3_roll_std,0.0044450298975219635
sensor_9_roll_std,0.0043593719311674235
sensor_12_roll_std,0.004356142834999039
sensor_13_roll_std,0.004350545547823035
sensor_4_roll_std,0.004139878222042225
sensor_14,0.004130385604260603
sensor_20_roll_std,0.003979947866881855
sensor_15_roll_std,0.003893146605244501
sensor_2_roll_std,0.0037981235458165266
sensor_17_roll_mean,0.0029327130909807334
sensor_7,0.0025543709976397744
sensor_3,0.0023704843218374976
sensor_15,0.002361766857613549
sensor_4,0.0023362505784877124
sensor_17_roll_std,0.002286788524363805
sensor_12,0.00227228271795778
sensor_21,0.002266642805477558
sensor_14_diff,0.0021767568271085073
sensor_7_diff,0.002072496647535188
sensor_2,0.002016540619528447
sensor_9_diff,0.0019912364665138774
sensor_4_diff,0.0019587316503426495
sensor_15_diff,0.001932694979734445
sensor_11,0.0019253134367628467
sensor_21_diff,0.0018899801520554267
sensor_20,0.001872163430568731
sensor_3_diff,0.0018457439056730907
sensor_12_diff,0.0018130167324333542
sensor_11_diff,0.0017254935212262731
sensor_2_diff,0.001717369125650633
sensor_20_diff,0.0015665553750559076
sensor_13,0.0015217845103213687
sensor_8,0.0014410497927181088
sensor_8_diff,0.0014398374520797309
sensor_13_diff,0.001375772825688849
sensor_17_diff,0.0006915932069730067
sensor_17,0.0006707360650004617
